date,precipitation,temp_max,temp_min,wind,weather,temp_avg,year,month,day,season,temp_avg_imp,precip_imp,temp_avg_7d,precip_7d
2012-01-01,0,12.8,5,4.7,drizzle,8.9,2012,1,1,Winter,8.9,0,NA,NA
2012-01-02,10.9,10.6,2.8,4.5,rain,6.699999999999999,2012,1,2,Winter,6.699999999999999,10.9,NA,NA
2012-01-03,0.8,11.7,7.2,2.3,rain,9.45,2012,1,3,Winter,9.45,0.8,NA,NA
2012-01-04,20.3,12.2,5.6,4.7,rain,8.899999999999999,2012,1,4,Winter,8.899999999999999,20.3,NA,NA
2012-01-05,1.3,8.9,2.8,6.1,rain,5.85,2012,1,5,Winter,5.85,1.3,NA,NA
2012-01-06,2.5,4.4,2.2,2.2,rain,3.3000000000000003,2012,1,6,Winter,3.3000000000000003,2.5,NA,NA
2012-01-07,0,7.2,2.8,2.3,rain,5,2012,1,7,Winter,5,0,6.871428571428571,35.800000000000004
2012-01-08,0,10,2.8,2,sun,6.4,2012,1,8,Winter,6.4,0,6.514285714285713,35.800000000000004
2012-01-09,4.3,9.4,5,3.4,rain,7.2,2012,1,9,Winter,7.2,4.3,6.5857142857142845,29.200000000000003
2012-01-10,1,6.1,0.6,3.4,rain,3.3499999999999996,2012,1,10,Winter,3.3499999999999996,1,5.7142857142857135,29.400000000000002
2012-01-11,0,6.1,-1.1,5.1,sun,2.5,2012,1,11,Winter,2.5,0,4.799999999999999,9.100000000000003
2012-01-12,0,6.1,-1.7,1.9,sun,2.1999999999999997,2012,1,12,Winter,2.1999999999999997,0,4.278571428571428,7.8000000000000025
2012-01-13,0,5,-2.8,1.3,sun,1.1,2012,1,13,Winter,1.1,0,3.964285714285714,5.3000000000000025
2012-01-14,4.1,4.4,0.6,5.3,snow,2.5,2012,1,14,Winter,2.5,4.1,3.6071428571428568,9.400000000000002
2012-01-15,5.3,1.1,-3.3,3.2,snow,-1.0999999999999999,2012,1,15,Winter,-1.0999999999999999,5.3,2.535714285714285,14.700000000000003
2012-01-16,2.5,1.7,-2.8,5,snow,-0.5499999999999999,2012,1,16,Winter,-0.5499999999999999,2.5,1.4285714285714282,12.900000000000002
2012-01-17,8.1,3.3,0,5.6,snow,1.65,2012,1,17,Winter,1.65,8.1,1.1857142857142853,20.000000000000004
2012-01-18,19.8,0,-2.8,5,snow,-1.4,2012,1,18,Winter,-1.4,19.8,0.6285714285714281,39.800000000000004
2012-01-19,15.2,-1.1,-2.8,1.6,snow,-1.95,2012,1,19,Winter,-1.95,15.2,0.0357142857142854,55
2012-01-20,13.5,7.2,-1.1,2.3,snow,3.05,2012,1,20,Winter,3.05,13.5,0.31428571428571395,68.5
2012-01-21,3,8.3,3.3,8.2,rain,5.800000000000001,2012,1,21,Winter,5.800000000000001,3,0.7857142857142855,67.4
2012-01-22,6.1,6.7,2.2,4.8,rain,4.45,2012,1,22,Winter,4.45,6.1,1.578571428571428,68.2
2012-01-23,0,8.3,1.1,3.6,rain,4.7,2012,1,23,Winter,4.7,0,2.3285714285714283,65.7
2012-01-24,8.6,10,2.2,5.1,rain,6.1,2012,1,24,Winter,6.1,8.6,2.964285714285714,66.2
2012-01-25,8.1,8.9,4.4,5.4,rain,6.65,2012,1,25,Winter,6.65,8.1,4.114285714285714,54.5
2012-01-26,4.8,8.9,1.1,4.8,rain,5,2012,1,26,Winter,5,4.8,5.107142857142857,44.1
2012-01-27,0,6.7,-2.2,1.4,drizzle,2.25,2012,1,27,Winter,2.25,0,4.992857142857142,30.6
2012-01-28,0,6.7,0.6,2.2,rain,3.65,2012,1,28,Winter,3.65,0,4.685714285714285,27.6
2012-01-29,27.7,9.4,3.9,4.5,rain,6.65,2012,1,29,Winter,6.65,27.7,5,49.2
2012-01-30,3.6,8.3,6.1,5.1,rain,7.2,2012,1,30,Winter,7.2,3.6,5.357142857142857,52.800000000000004
2012-01-31,1.8,9.4,6.1,3.9,rain,7.75,2012,1,31,Winter,7.75,1.8,5.5928571428571425,46.00000000000001
2012-02-01,13.5,8.9,3.3,2.7,rain,6.1,2012,2,1,Winter,6.1,13.5,5.514285714285713,51.400000000000006
2012-02-02,0,8.3,1.7,2.6,sun,5,2012,2,2,Winter,5,0,5.514285714285713,46.60000000000001
2012-02-03,0,14.4,2.2,5.3,sun,8.3,2012,2,3,Winter,8.3,0,6.378571428571428,46.60000000000001
2012-02-04,0,15.6,5,4.3,sun,10.3,2012,2,4,Winter,10.3,0,7.328571428571428,46.60000000000001
2012-02-05,0,13.9,1.7,2.9,sun,7.8,2012,2,5,Winter,7.8,0,7.492857142857142,18.900000000000006
2012-02-06,0,16.1,1.7,5,sun,8.9,2012,2,6,Winter,8.9,0,7.735714285714286,15.300000000000006
2012-02-07,0.3,15.6,7.8,5.3,rain,11.7,2012,2,7,Winter,11.7,0.3,8.299999999999999,13.800000000000006
2012-02-08,2.8,10,5,2.7,rain,7.5,2012,2,8,Winter,7.5,2.8,8.5,3.1000000000000063
2012-02-09,2.5,11.1,7.8,2.4,rain,9.45,2012,2,9,Winter,9.45,2.5,9.135714285714284,5.600000000000007
2012-02-10,2.5,12.8,6.7,3,rain,9.75,2012,2,10,Winter,9.75,2.5,9.342857142857142,8.100000000000007
2012-02-11,0.8,8.9,5.6,3.4,rain,7.25,2012,2,11,Winter,7.25,0.8,8.907142857142857,8.900000000000006
2012-02-12,1,8.3,5,1.3,rain,6.65,2012,2,12,Winter,6.65,1,8.742857142857142,9.900000000000006
2012-02-13,11.4,7.2,4.4,1.4,rain,5.800000000000001,2012,2,13,Winter,5.800000000000001,11.4,8.299999999999999,21.300000000000008
2012-02-14,2.5,6.7,1.1,3.1,rain,3.9000000000000004,2012,2,14,Winter,3.9000000000000004,2.5,7.185714285714285,23.500000000000007
2012-02-15,0,7.2,0.6,1.8,drizzle,3.9,2012,2,15,Winter,3.9,0,6.671428571428571,20.700000000000006
2012-02-16,1.8,7.2,3.3,2.1,rain,5.25,2012,2,16,Winter,5.25,1.8,6.071428571428571,20.000000000000007
2012-02-17,17.3,10,4.4,3.4,rain,7.2,2012,2,17,Winter,7.2,17.3,5.707142857142856,34.80000000000001
2012-02-18,6.4,6.7,3.9,8.1,rain,5.3,2012,2,18,Winter,5.3,6.4,5.428571428571429,40.400000000000006
2012-02-19,0,6.7,2.2,4.7,sun,4.45,2012,2,19,Winter,4.45,0,5.114285714285714,39.400000000000006
2012-02-20,3,7.8,1.7,2.9,rain,4.75,2012,2,20,Winter,4.75,3,4.964285714285714,31.000000000000007
2012-02-21,0.8,10,7.8,7.5,rain,8.9,2012,2,21,Winter,8.9,0.8,5.678571428571429,29.300000000000008
